id	id_pc	breast_video	obs
299	55_2	5	rp
300	57_1	2	rp
301	59_2	1	rp
302	64_1	1	rp
303	71_1	2	rp
304	72_2	4	rp
305	80_1	2	rp
306	83_2	3	rp
307	87_1	3	rp
308	89_1	5	rp
309	90_1	4	rp
310	93_2	5	rp
311	94_1	4	rp
312	95_2	3	rp
313	104_1	5	rp
314	110_2	3	rp
315	119_1	4	rp
316	120_2	3	rp
317	124_1	4	rp
318	125_2		rp
319	128_1	3	rp
320	130_2	4	rp
321	131_1	4,5	rp
322	133_2	2	rp
323	135_1	3	rp
324	138_2	3	rp
325	139_1	4,5	rp
326	141_2	4	rp
327	142_1	4	rp
328	147_1	4	rp
329	152_2	4	rp
330	153_1	3	rp
331	155_2	5	rp
332	158_1	2	rp
333	161_2	3	rp
334	165_1	3	rp
335	166_2	5	rp
336	167_1		rp
337	169_2	3,5	rp
338	170_1	3	rp
339	171_1	3	rp
340	21_2	2	rp
341	33_1	5	rp
342	35_2	1	rp
343	36_1	2	rp
344	37_2	5	rp
345	40_1	2	rp
346	41_2	4	rp
347	55_1	4	rp
348	57_2	3	rp
349	59_1	1	rp
350	64_2	1	rp
351	71_2	3	rp
352	72_1	3	rp
353	80_2	3	rp
354	83_1	3	rp
355	87_2	4	rp
356	89_1	4	rp
357	89_2	4	rp
358	90_2	4	rp
359	93_1	3	rp
360	94_2	3	rp
361	95_1	3	rp
362	104_2	5	rp
363	110_1	3	rp
364	119_2	5	rp
365	120_1	5	rp
366	124_2	3	rp
367	125_1	4	rp
368	128_2	4	rp
369	130_1	4	rp
370	131_2	4	rp
371	133_1	2	rp
372	135_2	3	rp
373	138_1	3	rp
374	139_2	4	rp
375	141_1	3	rp
376	142_2	5	rp
377	147_2	3	rp
378	152_1	4	rp
379	153_2	3	rp
380	155_1	5	rp
381	158_2	2	rp
382	161_1	4	rp
383	165_2	3	rp
384	166_1	4	rp
385	167_2	4	rp
386	169_1	4	rp
387	170_2	4	rp
388	171_2	3	rp
389	21_1	3	wz
390	33_2		wz
391	35_1	1	wz
392	36_2	2	wz
393	37_1	5	wz
394	40_2	2	wz
395	41_1		wz
396	55_2	5	wz
397	57_1	2	wz
398	59_2	1	wz
399	64_1	1	wz
400	71_1	3	wz
401	72_2	5	wz
402	80_1	3	wz
403	83_2	4	wz
