id_nest	latitude	longitude	date_found	STI	expo_Mayfield
1	49.110152972862124	14.293296961113811	28.3.2015	85	25
2	49.110425971448421	14.294318966567516	28.3.2015	85	10.5
3	48.998664021492004	14.366142991930246	28.3.2015	85	4
4	48.998481966555119	14.366231001913548	28.3.2015	83.5	4
5	49.001400964334607	14.362825015559793	28.3.2015	86.5	19
6	49.004171015694737	14.355586990714073	28.3.2015	88	5
7	49.004009999334812	14.354786016047001	28.3.2015	89	5
8	49.003331987187266	14.35435501858592	28.3.2015	85	25
9	49.089325033128262	14.301191037520766	28.3.2015	89	4.5
10	49.088169001042843	14.304039040580392	28.3.2015	88	28
11	49.089027978479862	14.299531001597643	28.3.2015	89	7
12	49.087642030790448	14.302109023556113	28.3.2015	89	32.5
13	49.087820984423161	14.300949973985553	28.3.2015	87	7
14	49.087412031367421	14.299692017957568	28.3.2015	89	25.5
15	49.076150022447109	14.297035960480571	28.3.2015	88.5	22
16	49.075828995555639	14.297682959586382	28.3.2015	89.5	29.5
17	49.07348801381886	14.313344964757562	28.3.2015	86	14
18	48.990094028413296	14.35753402300179	29.3.2015	86	25
19	48.990176003426313	14.356742016971111	29.3.2015	88	17
20	48.984301965683699	14.31430502794683	29.3.2015	88	19.5
21	48.985663019120693	14.30994400754571	29.3.2015	79.75	11
22	48.985510971397161	14.309714008122683	24.3.2015	88	16
23	48.991097006946802	14.35674000531435	3.4.2015	91.5	19.5
24	48.989956984296441	14.417642997577786	3.4.2015	91	16.5
25	48.990182038396597	14.417177969589829	3.4.2015	91	25
26	48.994282968342304	14.423014037311077	3.4.2015	88	22
27	48.994008963927627	14.422689992934465	3.4.2015	93	15.5
28	48.994162017479539	14.422023966908455	3.4.2015	90.25	22
29	49.005223028361797	14.343004999682307	3.4.2015	82.25	12.5
30	49.00482296012342	14.34352601878345	3.4.2015	93	18
31	49.004923962056637	14.344413997605443	3.4.2015	92	5.5
32	49.005086990073323	14.344361023977399	3.4.2015	87.5	21.5
33	49.004785995930433	14.344616001471877	3.4.2015	85.75	12
34	49.004721958190203	14.344701999798417	3.4.2015	93	3
35	49.004497993737459	14.344779029488564	3.4.2015	86	18
36	49.004963021725416	14.345010034739971	3.4.2015	92.25	14.5
37	49.00486403144896	14.345359979197383	3.4.2015	84.75	18.75
38	49.004760012030602	14.345541028305888	3.4.2015		1
39	49.004695974290371	14.345734985545278	3.4.2015	93	12
40	49.108502995222807	14.295437028631568	4.4.2015	92	5
41	49.109406983479857	14.293739022687078	4.4.2015	94	27
42	49.109505973756313	14.292982975021005	4.4.2015	92	17.5
43	49.098026035353541	14.299511974677444	4.4.2015	92	3.5
44	49.081823984161019	14.309240011498332	4.4.2015	91.25	22.5
45	49.089037030935287	14.301732005551457	4.4.2015	92	25
46	49.088713992387056	14.301617005839944	4.4.2015	92	25.5
47	49.08848600462079	14.301898973062634	4.4.2015	95	
48	49.088014019653201	14.303179979324341	4.4.2015	92	7.5
49	49.088204959407449	14.300854001194239	4.4.2015	92	25
50	49.08762501552701	14.302600035443902	4.4.2015		
51	49.087091004475951	14.299352969974279	4.4.2015	94	18.5
52	49.07237003557384	14.314577020704746	4.4.2015		0.5
53	49.072849983349442	14.313024021685123	4.4.2015	93	7
54	49.073978019878268	14.313205992802978	4.4.2015	93	7
55	48.989358013495803	14.355309968814254	5.4.2015	93	17.5
56	48.989445017650723	14.35549596324563	5.4.2015	91.25	9.5
57	48.989247037097812	14.353953022509813	5.4.2015	94	26
58	48.990614963695407	14.356837989762425	5.4.2015	93.5	25.5
59	48.990810010582209	14.357151975855231	5.4.2015	88.5	10
60	49.014653004705906	14.316785987466574	5.4.2015	93	3.5
61	49.014786025509238	14.317084969952703	5.4.2015	87.5	3.5
62	49.016095027327538	14.320594975724816	5.4.2015	93	13
63	49.016485959291458	14.321451019495726	5.4.2015	89.5	13
64	48.99081302806735	14.357412988319993	5.4.2015	93	14.5
65	49.001231985166669	14.362537013366818	5.4.2015	86.75	10.5
66	49.003197960555553	14.354213029146194	5.4.2015	93	8
67	49.003443969413638	14.355124980211258	5.4.2015	95	8
68	49.004945000633597	14.344076039269567	5.4.2015	93	1
69	48.986111031845212	14.368735011667013	5.4.2015	92.25	13.5
70	48.986287973821163	14.369818959385157	5.4.2015	89.5	17
71	48.986338013783097	14.370144009590149	5.4.2015	91.5	17
72	48.986582010984421	14.370020041242242	5.4.2015	87.5	17
73	48.986564995720983	14.371140031144023	5.4.2015	82.25	14.25
74	48.985814983025193	14.371615033596754	5.4.2015	90.75	17
75	48.987919008359313	14.37266000546515	5.4.2015	93.5	8.5
76	48.997387960553169	14.366305014118552	5.4.2015	90.75	22.75
77	49.026604006066918	14.333610981702805	6.4.2015	87	18
78	48.986348994076252	14.369375975802541	9.4.2015	89.5	9.5
79	48.986114971339703	14.369633970782161	9.4.2015	88	4
80	48.986572958528996	14.369762968271971	9.4.2015	91	13
81	48.986424012109637	14.370557991787791	9.4.2015	88.5	16.5
82	48.986583016812801	14.371144976466894	9.4.2015		
83	48.972820015624166	14.389800997450948	10.4.2015	91	18
84	48.972610970959067	14.389172019436955	10.4.2015	91	5.5
85	49.004797982051969	14.344226997345686	10.4.2015	90.75	14.5
86	48.974943989887834	14.388415971770883	10.4.2015	90.75	5
87	48.975238027051091	14.388733981177211	10.4.2015	98	25
88	48.976220972836018	14.389328006654978	10.4.2015	90.25	5
89	48.976572006940842	14.389352984726429	10.4.2015	91	18
90	48.976979032158852	14.389243014156818	10.4.2015	90	17
91	48.977033011615276	14.388680001720786	10.4.2015	89	14.5
92	48.976808963343501	14.388304995372891	10.4.2015	90.25	17.25
93	48.977270973846316	14.388011964038014	10.4.2015	98	
94	48.976536970585585	14.387939041480422	10.4.2015	95.6666666666667	16.5
95	48.977426961064339	14.389436971396208	10.4.2015	100.666666666667	16.5
96	49.076915038749576	14.316482981666923	11.4.2015	100	5
97	49.076077016070485	14.316333029419184	11.4.2015	91.25	5
98	49.108648002147675	14.292812990024686	11.4.2015	99.5	25.5
99	49.026713976636529	14.3075199611485	11.4.2015	88.25	6.5
100	49.025742011144757	14.283678978681564	11.4.2015	92	18
101	49.024348016828299	14.284057002514601	11.4.2015	101	6.5
102	49.110167976468801	14.292487017810345	12.4.2015		
103	49.110449021682143	14.292862024158239	12.4.2015	93	2.5
104	49.109059972688556	14.293646989390254	12.4.2015	93	18
105	49.108959976583719	14.293955024331808	12.4.2015	95.25	7.5
106	49.109442019835114	14.295166963711381	12.4.2015	100	9.5
107	49.120350982993841	14.338595028966665	12.4.2015	101.5	9
109	48.997224010527134	14.365407982841134	12.4.2015	96.25	1
110	48.997803032398224	14.36610896140337	12.4.2015	87.25	3.5
111	48.99751896969974	14.367003981024027	12.4.2015	103	2.5
112	48.99839898571372	14.369084034115076	12.4.2015	97.5	22.5
113	49.012243961915374	14.321617987006903	12.4.2015	82.5	0.5
114	49.076575990766287	14.315901026129723	13.4.2015		3
115	49.10833602771163	14.293630979955196	13.4.2015	101	9
116	49.005107022821903	14.342422960326076	14.4.2015	95.25	8.5
117	49.004589021205902	14.344179974868894	14.4.2015	89.5	12.5
118	48.98743998259306	14.419252993538976	17.4.2015	91.5	11.5
119	49.08184602856636	14.310428984463215	19.4.2015	89.5	7.5
120	49.098172970116138	14.300789963454008	19.4.2015	107	14.5
121	49.109320985153317	14.294285019859672	19.4.2015	109	12
122	48.988434998318553	14.41911100409925	20.4.2015	92.3333333333333	9.33333333333333
123	49.021705035120249	14.38499397598207	20.4.2015	90	7
124	49.022107031196356	14.385080980136991	20.4.2015	95	12
125	49.022522019222379	14.385652039200068	20.4.2015	91.5	8.5
126	48.997551994398236	14.368211980909109	20.4.2015	108	
127	48.996504005044699	14.362070979550481	20.4.2015	108	
128	48.974723964929581	14.37055598013103	24.4.2015	96	9
129	48.974640984088182	14.369528023526073	24.4.2015	94.5	7.5
130	48.974617011845112	14.368047025054693	24.4.2015	100	13
131	48.97433596663177	14.367707977071404	24.4.2015	95.5	8.5
132	49.018887961283326	14.321050029247999	24.4.2015	94.5	7.5
133	48.991208989173174	14.357504015788436	25.4.2015	113	7.5
